Date,Away,Home,Attendance,Type
2021-06-11,Seattle Mariners,Cleveland Indians,22970,R
2021-06-11,Chicago White Sox,Detroit Tigers,14163,R
2021-06-11,Texas Rangers,Los Angeles Dodgers,20220,R
2021-06-11,San Francisco Giants,Washington Nationals,18029,R
2021-06-11,San Diego Padres,New York Mets,26637,R
2021-06-12,Kansas City Royals,Oakland Athletics,7678,R
2021-06-12,Baltimore Orioles,Tampa Bay Rays,9225,R
2021-06-12,Houston Astros,Minnesota Twins,18767,R
2021-06-12,New York Yankees,Philadelphia Phillies,38450,R
2021-06-12,Atlanta Braves,Miami Marlins,8158,R
2021-06-12,Pittsburgh Pirates,Milwaukee Brewers,20126,R
2021-06-12,Los Angeles Angels,Arizona Diamondbacks,13863,R
2021-06-12,Toronto Blue Jays,Boston Red Sox,24024,R
2021-06-12,St. Louis Cardinals,Chicago Cubs,39095,R
2021-06-12,Colorado Rockies,Cincinnati Reds,23765,R
2021-06-12,Seattle Mariners,Cleveland Indians,20116,R
2021-06-12,Chicago White Sox,Detroit Tigers,15913,R
2021-06-12,Texas Rangers,Los Angeles Dodgers,17500,R
2021-06-12,San Francisco Giants,Washington Nationals,24066,R
2021-06-12,San Diego Padres,New York Mets,25463,R
2021-06-13,Kansas City Royals,Oakland Athletics,7060,R
2021-06-13,Baltimore Orioles,Tampa Bay Rays,9101,R
2021-06-13,Houston Astros,Minnesota Twins,19147,R
2021-06-13,New York Yankees,Philadelphia Phillies,38512,R
2021-06-13,Atlanta Braves,Miami Marlins,8448,R
2021-06-13,Pittsburgh Pirates,Milwaukee Brewers,20545,R
2021-06-13,Los Angeles Angels,Arizona Diamondbacks,12768,R
2021-06-13,Toronto Blue Jays,Boston Red Sox,22595,R
2021-06-13,St. Louis Cardinals,Chicago Cubs,35225,R
2021-06-13,Colorado Rockies,Cincinnati Reds,18268,R
2021-06-13,Seattle Mariners,Cleveland Indians,17371,R
2021-06-13,Chicago White Sox,Detroit Tigers,14093,R
2021-06-13,Texas Rangers,Los Angeles Dodgers,15508,R
2021-06-13,San Francisco Giants,Washington Nationals,21569,R
2021-06-13,San Diego Padres,New York Mets,19581,R
2021-06-14,Los Angeles Angels,Oakland Athletics,4102,R
2021-06-14,Minnesota Twins,Seattle Mariners,9185,R
2021-06-14,Arizona Diamondbacks,San Francisco Giants,9906,R
2021-06-14,Miami Marlins,St. Louis Cardinals,24281,R
2021-06-14,Tampa Bay Rays,Chicago White Sox,18024,R
2021-06-14,Cincinnati Reds,Milwaukee Brewers,17127,R
2021-06-14,Toronto Blue Jays,Boston Red Sox,20070,R
2021-06-14,Baltimore Orioles,Cleveland Indians,11181,R
2021-06-14,San Diego Padres,Colorado Rockies,23027,R
2021-06-14,Detroit Tigers,Kansas City Royals,11910,R
2021-06-14,Philadelphia Phillies,Los Angeles Dodgers,15761,R
2021-06-14,Pittsburgh Pirates,Washington Nationals,14859,R
2021-06-14,Chicago Cubs,New York Mets,16383,R
2021-06-15,Los Angeles Angels,Oakland Athletics,4942,R
2021-06-15,Minnesota Twins,Seattle Mariners,7669,R
2021-06-15,Arizona Diamondbacks,San Francisco Giants,9867,R
2021-06-15,Miami Marlins,St. Louis Cardinals,24736,R
2021-06-15,New York Yankees,Toronto Blue Jays,7145,R
2021-06-15,Boston Red Sox,Atlanta Braves,36638,R
2021-06-15,Tampa Bay Rays,Chicago White Sox,19259,R
2021-06-15,Cincinnati Reds,Milwaukee Brewers,16584,R
2021-06-15,Baltimore Orioles,Cleveland Indians,12025,R
2021-06-15,San Diego Padres,Colorado Rockies,22871,R
2021-06-15,Texas Rangers,Houston Astros,26379,R
2021-06-15,Detroit Tigers,Kansas City Royals,15947,R
2021-06-15,Philadelphia Phillies,Los Angeles Dodgers,52078,R
2021-06-15,Pittsburgh Pirates,Washington Nationals,16886,R
2021-06-15,Chicago Cubs,New York Mets,17804,R
2021-06-16,Los Angeles Angels,Oakland Athletics,6228,R
2021-06-16,Minnesota Twins,Seattle Mariners,8098,R
2021-06-16,Arizona Diamondbacks,San Francisco Giants,11004,R
2021-06-16,Miami Marlins,St. Louis Cardinals,24682,R
2021-06-16,New York Yankees,Toronto Blue Jays,7271,R
2021-06-16,Boston Red Sox,Atlanta Braves,39847,R
2021-06-16,Tampa Bay Rays,Chicago White Sox,20098,R
2021-06-16,Cincinnati Reds,Milwaukee Brewers,20088,R
2021-06-16,Baltimore Orioles,Cleveland Indians,12825,R
2021-06-16,San Diego Padres,Colorado Rockies,18798,R
2021-06-16,Texas Rangers,Houston Astros,22735,R
2021-06-16,Detroit Tigers,Kansas City Royals,11327,R
2021-06-16,Philadelphia Phillies,Los Angeles Dodgers,52157,R
2021-06-16,Pittsburgh Pirates,Washington Nationals,16781,R
2021-06-16,Chicago Cubs,New York Mets,23545,R
2021-06-17,Cincinnati Reds,San Diego Padres,40362,R
2021-06-17,Tampa Bay Rays,Seattle Mariners,9092,R
2021-06-17,Arizona Diamondbacks,San Francisco Giants,13144,R
2021-06-17,New York Yankees,Toronto Blue Jays,7288,R
2021-06-17,St. Louis Cardinals,Atlanta Braves,33412,R
2021-06-17,Detroit Tigers,Los Angeles Angels,30709,R
2021-06-17,Baltimore Orioles,Cleveland Indians,15121,R
2021-06-17,Milwaukee Brewers,Colorado Rockies,22756,R
2021-06-17,Chicago White Sox,Houston Astros,21795,R
2021-06-17,Chicago Cubs,New York Mets,16826,R
2021-06-18,Cleveland Indians,Pittsburgh Pirates,16965,R
2021-06-18,Cincinnati Reds,San Diego Padres,33456,R
2021-06-18,Tampa Bay Rays,Seattle Mariners,12654,R
2021-06-18,Philadelphia Phillies,San Francisco Giants,16170,R
2021-06-18,Minnesota Twins,Texas Rangers,30304,R
2021-06-18,St. Louis Cardinals,Atlanta Braves,40377,R
2021-06-18,Oakland Athletics,New York Yankees,24037,R
2021-06-18,Detroit Tigers,Los Angeles Angels,22734,R
2021-06-18,Los Angeles Dodgers,Arizona Diamondbacks,25356,R
2021-06-18,Toronto Blue Jays,Baltimore Orioles,13284,R
2021-06-18,Miami Marlins,Chicago Cubs,32505,R
2021-06-18,Milwaukee Brewers,Colorado Rockies,27117,R
2021-06-18,Chicago White Sox,Houston Astros,30898,R
2021-06-18,Boston Red Sox,Kansas City Royals,29870,R
2021-06-18,New York Mets,Washington Nationals,26246,R
2021-06-19,Cleveland Indians,Pittsburgh Pirates,16830,R
2021-06-19,Cincinnati Reds,San Diego Padres,38765,R
2021-06-19,Tampa Bay Rays,Seattle Mariners,14772,R
2021-06-19,Philadelphia Phillies,San Francisco Giants,16774,R
2021-06-19,Minnesota Twins,Texas Rangers,34044,R
2021-06-19,Oakland Athletics,New York Yankees,23985,R
2021-06-19,Detroit Tigers,Los Angeles Angels,23175,R
2021-06-19,Los Angeles Dodgers,Arizona Diamondbacks,29904,R
2021-06-19,Toronto Blue Jays,Baltimore Orioles,10721,R
2021-06-19,Miami Marlins,Chicago Cubs,35846,R
2021-06-19,Milwaukee Brewers,Colorado Rockies,34198,R
2021-06-19,Chicago White Sox,Houston Astros,35210,R
2021-06-19,Boston Red Sox,Kansas City Royals,24568,R
2021-06-19,New York Mets,Washington Nationals,22111,R
2021-06-20,Cleveland Indians,Pittsburgh Pirates,16582,R
2021-06-20,Cincinnati Reds,San Diego Padres,38004,R
2021-06-20,Tampa Bay Rays,Seattle Mariners,18172,R
2021-06-20,Philadelphia Phillies,San Francisco Giants,18265,R
2021-06-20,Minnesota Twins,Texas Rangers,34007,R
2021-06-20,St. Louis Cardinals,Atlanta Braves,36977,R
2021-06-20,Oakland Athletics,New York Yankees,27807,R
2021-06-20,Detroit Tigers,Los Angeles Angels,21626,R
2021-06-20,Los Angeles Dodgers,Arizona Diamondbacks,31661,R
2021-06-20,Toronto Blue Jays,Baltimore Orioles,14917,R
2021-06-20,Miami Marlins,Chicago Cubs,37158,R
2021-06-20,Milwaukee Brewers,Colorado Rockies,34224,R
2021-06-20,Chicago White Sox,Houston Astros,39821,R
2021-06-20,Boston Red Sox,Kansas City Royals,20726,R
2021-06-20,New York Mets,Washington Nationals,30371,R
2021-06-21,Los Angeles Dodgers,San Diego Padres,42220,R
2021-06-21,Oakland Athletics,Texas Rangers,20259,R
2021-06-21,Cincinnati Reds,Minnesota Twins,17530,R
2021-06-21,Milwaukee Brewers,Arizona Diamondbacks,9804,R
2021-06-21,Houston Astros,Baltimore Orioles,7414,R
2021-06-21,Cleveland Indians,Chicago Cubs,32934,R
2021-06-21,Atlanta Braves,New York Mets,18698,R
2021-06-22,Chicago White Sox,Pittsburgh Pirates,9847,R
2021-06-22,Los Angeles Dodgers,San Diego Padres,42667,R
2021-06-22,Colorado Rockies,Seattle Mariners,12879,R
2021-06-22,Boston Red Sox,Tampa Bay Rays,12994,R
2021-06-22,Oakland Athletics,Texas Rangers,19185,R
2021-06-22,Cincinnati Reds,Minnesota Twins,19187,R
2021-06-22,Washington Nationals,Philadelphia Phillies,19652,R
2021-06-22,Toronto Blue Jays,Miami Marlins,6291,R
2021-06-22,Kansas City Royals,New York Yankees,21130,R
2021-06-22,San Francisco Giants,Los Angeles Angels,28354,R
2021-06-22,Milwaukee Brewers,Arizona Diamondbacks,9358,R
2021-06-22,Houston Astros,Baltimore Orioles,8510,R
2021-06-22,Cleveland Indians,Chicago Cubs,35493,R
2021-06-22,St. Louis Cardinals,Detroit Tigers,13492,R
2021-06-22,Atlanta Braves,New York Mets,17063,R
2021-06-23,Chicago White Sox,Pittsburgh Pirates,10406,R
2021-06-23,Los Angeles Dodgers,San Diego Padres,43691,R
2021-06-23,Colorado Rockies,Seattle Mariners,11141,R
2021-06-23,Boston Red Sox,Tampa Bay Rays,9088,R
2021-06-23,Oakland Athletics,Texas Rangers,21829,R
2021-06-23,Washington Nationals,Philadelphia Phillies,17892,R
2021-06-23,Toronto Blue Jays,Miami Marlins,6164,R
2021-06-23,Kansas City Royals,New York Yankees,25032,R
2021-06-23,San Francisco Giants,Los Angeles Angels,20620,R
2021-06-23,Milwaukee Brewers,Arizona Diamondbacks,8676,R
2021-06-23,Houston Astros,Baltimore Orioles,10013,R
2021-06-23,St. Louis Cardinals,Detroit Tigers,13263,R
2021-06-23,Atlanta Braves,New York Mets,15645,R
2021-06-24,Pittsburgh Pirates,St. Louis Cardinals,33254,R
2021-06-24,Boston Red Sox,Tampa Bay Rays,10961,R
2021-06-24,Oakland Athletics,Texas Rangers,20432,R
2021-06-24,Baltimore Orioles,Toronto Blue Jays,6264,R
2021-06-24,Cleveland Indians,Minnesota Twins,18812,R
2021-06-24,Washington Nationals,Miami Marlins,5255,R
2021-06-24,Kansas City Royals,New York Yankees,21350,R
2021-06-24,Atlanta Braves,Cincinnati Reds,23941,R
2021-06-24,Houston Astros,Detroit Tigers,12656,R
2021-06-24,Chicago Cubs,Los Angeles Dodgers,52175,R
2021-06-25,Arizona Diamondbacks,San Diego Padres,32583,R
2021-06-25,Oakland Athletics,San Francisco Giants,36928,R
2021-06-25,Pittsburgh Pirates,St. Louis Cardinals,34812,R
2021-06-25,Los Angeles Angels,Tampa Bay Rays,7909,R
2021-06-25,Kansas City Royals,Texas Rangers,30389,R
2021-06-25,Baltimore Orioles,Toronto Blue Jays,7844,R
2021-06-25,Cleveland Indians,Minnesota Twins,16892,R
2021-06-25,Seattle Mariners,Chicago White Sox,32189,R
2021-06-25,Washington Nationals,Miami Marlins,4749,R
2021-06-25,Colorado Rockies,Milwaukee Brewers,31140,R
2021-06-25,New York Yankees,Boston Red Sox,36869,R
2021-06-25,Atlanta Braves,Cincinnati Reds,30231,R
2021-06-25,Chicago Cubs,Los Angeles Dodgers,49387,R
2021-06-25,Philadelphia Phillies,New York Mets,29012,R
2021-06-26,Arizona Diamondbacks,San Diego Padres,40557,R
2021-06-26,Oakland Athletics,San Francisco Giants,33168,R
2021-06-26,Pittsburgh Pirates,St. Louis Cardinals,33058,R
2021-06-26,Los Angeles Angels,Tampa Bay Rays,16699,R
2021-06-26,Kansas City Royals,Texas Rangers,31612,R
2021-06-26,Baltimore Orioles,Toronto Blue Jays,5913,R
2021-06-26,Seattle Mariners,Chicago White Sox,30017,R
2021-06-26,Washington Nationals,Miami Marlins,6305,R
2021-06-26,Colorado Rockies,Milwaukee Brewers,32573,R
2021-06-26,New York Yankees,Boston Red Sox,36857,R
2021-06-26,Atlanta Braves,Cincinnati Reds,34671,R
2021-06-26,Houston Astros,Detroit Tigers,13950,R
2021-06-26,Chicago Cubs,Los Angeles Dodgers,45420,R
2021-06-26,Philadelphia Phillies,New York Mets,29205,R
2021-06-27,Arizona Diamondbacks,San Diego Padres,34905,R
2021-06-27,Oakland Athletics,San Francisco Giants,35920,R
2021-06-27,Pittsburgh Pirates,St. Louis Cardinals,25163,R
2021-06-27,Los Angeles Angels,Tampa Bay Rays,12764,R
2021-06-27,Kansas City Royals,Texas Rangers,29046,R
2021-06-27,Baltimore Orioles,Toronto Blue Jays,6044,R
2021-06-27,Cleveland Indians,Minnesota Twins,20215,R
2021-06-27,Seattle Mariners,Chicago White Sox,30017,R
2021-06-27,Washington Nationals,Miami Marlins,7349,R
2021-06-27,Colorado Rockies,Milwaukee Brewers,25016,R
2021-06-27,New York Yankees,Boston Red Sox,34504,R
2021-06-27,Atlanta Braves,Cincinnati Reds,21696,R
2021-06-27,Houston Astros,Detroit Tigers,13532,R
2021-06-27,Chicago Cubs,Los Angeles Dodgers,46315,R
